,reviews,dates,names
175,"""I would prefer insurancewatch for all type of insurance. They communicate better than others. Thanks.""",2014-04-29,Vishal (WA)
176,"""Would definitely recommend to others. Easy to understand terms & conditions. Simple straight forward questions required for activation of the policy. Excellent informative communication. Fast acceptance approval. 20% rebate on first year of policy - (which I received via cheque within 28days) Easy monthly direct debit..""",2014-04-02,Wendy (VIC)
177,"""My overall experience has been a positive one so far. I do like the professional customer service approach and clear processes however I feel the recent premuim increase is unjustified..""",2014-02-24,George (VIC)
178,"""Comprehesive, did not have a claim yet..""",2014-02-22,Ed (QLD)
179,"""I purchased the policy from yourselves last year and i am just updating to see who is cheapest now..""",2014-02-14,Linda (VIC)
180,"""AIA commenced claim in January 2013 and stopped payments in May 2013. AIA contacted specialist without my knowledge and requested a diagnoses report. Report advised I have IBS and can return to work. Have received no Successful treatment and symptoms are still the same. Have obtained seconds opinions from psychiatrist and gastroenterologist, both reports state I do not have IBS and cannot return to work until treatment received. Now being medicated to help with diagnosed depression, and awaiting neurologist appointment to investigate further symptoms. AIA still refuse to reopen claim based on the 2 correct reports. Have received no payments for over 7 months, still haven't been treated and still can't return to work. Financial Ombudsman has been involved, and I will also be pursuing court action with my lawyer if the financial ombudsman cannot assist me with my situation. AIA are portraying as a liar, in particular to my Employer. Employer will most likely be terminating my position due to being ill from work for over 12months. Facing sever financial hardship due to this..""",2013-12-08,Renee (VIC)
181,"""I haven't had much to do with them since my initial contact and set up, simply a reminder when the annual renewal came up. I did ask to increase my life insurance, but this turned out to be far too difficult..""",2013-11-22,Roxanne (NSW)
182,"""Love the value I get for my money, great price.""",2013-11-20,Amanda (QLD)
183,"""Very happy so far with service and I would recommend them to others..""",2013-11-11,Amanda (QLD)
184,"""Policy feature and cost are great, but be warned customer service is terrible. If your credit card expires (as they all do), if you havent told them the new number in advance they will start sending you nasty letters saying that your credit card has been dishonored. How a company that manages our life insurance cant work out that your card has expired I fail to understand. To update your credit card expiry date don't expect to do it with a phone call a two page form is requested to be completed and mailed back!.""",2013-10-24,Paul (TAS)
185,"""Easy to apply life insurance. Product Disclosure could have been written more in a way that can be understood easily..""",2013-10-23,SURYA (VIC)
186,"""Very comprehensive features and options at reasonable prices. I rated low for timelyness and communications because I think the industry in Australia is very poor in these areas generally and my insurer is just standard in this regard..""",2013-09-18,Chris (WA)
187,"""Every time I would call the customer service number I will always be put on hold for >10 minutes. It would be nice to speak to someone as soon as the person on the other end picks up the phone and not waste my time listening to classical music. I would recommend them to others because they offer value for money, I just hope they would improve their customer service..""",2013-06-20,Leng (NSW)
188,"""Ease of online application and acceptance was the best feature - didn't involve someone having to phone you, etc..""",2013-06-20,Adam (SA)
189,"""Had AIA insurance through superfund First State Super, previously with HealthSuper. I am now applies directly as I like the products, and will get better cover and value for money..""",2013-06-19,Nicola (VIC)
190,"""Average experience, costumer service quite poor.""",2013-06-17,Patrick (QLD)
191,"""Value for money policy. Easy to read and complete application forms. Payments deducted monthly via Direct Debit automatically. Being able to compare and select options via Insurance Watch website and then apply online made for an easy process..""",2013-06-17,Justin (VIC)
192,"""Havent had any claims so can't really comment on service.""",2013-06-15,Megan (NSW)
193,"""Good cover for price.""",2013-06-15,Jay (QLD)
194,"""Took some time to complete all necessary papers and loading was applied to my policy. No follow up as promised on additional medical review to reduce loading..""",2013-06-15,Andrew (QLD)
195,"""I haven't had the policy for very long, but so far, so good..""",2013-06-14,Mardiros (NSW)
196,"""I am happy with the premium price.""",2013-06-13,Thao (ACT)
197,"""After using insurance watch and then using a financial planner for other matters they were very impresses with the rates and levels insurance watch had obtained for me.""",2013-05-25,Tracey (QLD)
198,"""This is the first time i have ever taken out life insurance and income protection and the process seemed quick and easy and my cover started very soon after the application process. As far as value for money i am not sure if it is good or bad as i did not have much time to shop around..""",2013-05-20,INDIA (NSW)
199,"""Prices are climbing that's why I'm looking at getting a quote.""",2013-05-20,Nancy (NSW)
200,"""I have just joined but they have been helpful so far.""",2013-05-18,Michelle (VIC)
201,"""I will recommend to my friends..""",2013-05-18,Victoria (VIC)
202,"""Ease of getting in place.""",2013-05-17,Francesco (VIC)
203,"""Insurance policy was as expected... went through an insurance broker possibly made it more expensive but have recently ended policy to reinsure with another provider - more suitable to my needs and $100 cheaper per month.""",2013-05-17,Fiona (NSW)
204,"""Efficient processing, accessible and responsive to inquiries..""",2013-05-16,Graeme (ACT)
205,"""I didnt have any problems with this insurer but I did not make a claim and I find that claiming is when you really get to know if a company is good or not. I would recommend them to others..""",2013-05-16,BRONWYN (VIC)
206,"""My broker set me up with this insurer and therefore I have no experience re what I like and dislike. I compared a couple of insurers when I was setting up this insurance and there wasn't much difference between them. It came down to cost in the end.""",2013-05-15,Simone (VIC)
207,"""Policy seemed good and forms were not too invasive or long. Good value for money. I was with MLC for many years, but cost just kept going up, so I looked around for a better value policy and found one. I have only recently changed to AIA, but would recommend them to others. I would not MLC as they are very expensive..""",2013-05-15,Lindy (VIC)
208,"""Good quick service with no hidden agenda.""",2013-05-14,Kathryn (NSW)
209,"""Been happy with the current insurer as they provide a cheaper option compare to other insurers..""",2013-05-14,Kenny (VIC)
210,"""The application process was simple and their policy provides good cover for a competitive price. I would recommend them to others..""",2013-05-13,Andrew (ACT)
211,"""Extremely happy with my choice of insurer. Service and information provided was superb and I would not hesitate in recommending them to others..""",2013-05-11,Valerie (WA)
212,"""It was all very organised and processed quickly..""",2013-05-07,Grant (QLD)
213,"""Very organised and quick service.""",2013-05-07,Sandra (QLD)
214,"""Very pleasant and stress free.""",2013-05-05,Michael (QLD)
215,"""The application took some time to get processed. The value of the policy was very competitive. Yes i will recommend them to others.""",2013-05-05,Ming (NSW)
216,"""They were prepared to be flexible with the paperwork and provided a compromise that worked well for me.""",2013-05-04,Susan (NSW)
217,"""Our credit card details changed, and we found it hard to change the details with them. The first letter that came out only said we had dishonoured, but had no paperwork to update the details. We emailed insurance watch, but received no response. On the second dishonour letter, AIA included a new direct debit form, which we completed and sent back to them to fix..""",2013-05-03,Jessica (QLD)
218,"""I have had no problems, but I have not yet made a claim..""",2013-05-03,Darren (VIC)
219,"""They provide a good simple product with a premium better than most other equivelent products..""",2013-05-03,Anne (VIC)
