,Unnamed: 0,reviews,dates,names,Positive,Negative,Neutral,Compound,Sentiment
130,130,"""I highly recommend this insurer to others as it won't be a waste of money because 'you will get what you paid for'..""",2018-07-30,Shatha (NSW),0.204,0.0,0.796,0.628,Positive
131,131,"""When I took out the policy I did not realise the policy increased every year and also the cost. I wish it was explained up front..""",2018-07-26,Arran (NSW),0.186,0.0,0.814,0.5859,Positive
132,132,"""I have never made any claims however application process seems very long..""",2018-07-24,Chris (QLD),0.0,0.0,1.0,0.0,Neutral
133,133,"""I love free the AIA Vitality service they offer. The gamification system of getting points for being healthy and then rewarded with vouchers and discounts has improved my health hugely over the past few months..""",2018-07-23,Sanchia (QLD),0.393,0.0,0.607,0.9571,Positive
134,134,"""My claim was paid within 2 weeks no hassles ,.""",2018-07-16,Kerrie (NSW),0.0,0.216,0.784,-0.296,Negative
135,135,"""Been great service so far. Would recommend to others needing income protection..""",2018-06-29,Murray (VIC),0.407,0.0,0.593,0.7823,Positive
136,136,"""On the whole it has been good, however I have a permanent disability and my partial claims occasionally take a long time to get processed and paid due to my insurer having staffing issues. Insurance Watch have been extremely helpful in speeding up the process though and I would highly recommend them to anyone..""",2018-06-20,Claire (VIC),0.157,0.0,0.843,0.831,Positive
137,137,"""Dodgy , lying , decetful , sneaky criminals keep away from these guys for godscsake take ya chances with any one but AIA def not recommend only unless you want pure disappointrment.""",2018-06-14,Stuart (WA),0.082,0.289,0.629,-0.7403,Negative
138,138,"""Insurance provider is good, provides what I pay for, haven't made a claim..""",2018-05-01,COREY (WA),0.218,0.105,0.677,0.3612,Positive
139,139,"""There medical process was a lot easier than the other companies suggested as i work in a physically demanding job. BUT they arent always straightforward with what the require and customer service isnt always the best.""",2018-04-05,Eliza (SA),0.055,0.042,0.902,0.1154,Positive
140,140,"""Claim process was handled smoothly & attending nurse was professional & caring.""",2018-03-13,Ian (VIC),0.0,0.0,1.0,0.0,Neutral
141,141,"""I find that it is good and provides me with the things that i need.""",2017-12-23,Holly (VIC),0.182,0.0,0.818,0.4404,Positive
142,142,"""For the price you pay, it's ok. Claims process can be a bit slow..""",2017-12-21,Sharon (WA),0.151,0.096,0.753,0.2023,Positive
143,143,"""Like the scope of policy Dislike the lack of communications and regular premium increases.""",2017-12-16,Penny (VIC),0.136,0.266,0.598,-0.34,Negative
144,144,"""The Vitality Program was the reason why I bought this insurance. I love it..""",2017-12-14,Belinda (VIC),0.394,0.0,0.606,0.7579,Positive
145,145,"""Poor clarification of policy details. Needed to make follow up enquiries to confirm policy success. Had to make multiple appointments to qualify for insurance. Medical etc..""",2017-12-04,Robert (NSW),0.12,0.101,0.779,0.1531,Positive
146,146,"""I think the customer service was fine when I commenced the policy.""",2017-11-27,Serina (SA),0.153,0.0,0.847,0.2023,Positive
147,147,"""We all knew that AIG group is huge. Especially 9-11 after with the USA govt backing. As huge pay out, is a real assurance. And save to hear to us all..""",2017-11-27,Sebastian (SA),0.308,0.038,0.654,0.836,Positive
148,148,"""I liked the efficient, value for money & professional customer service provided by InsuranceWatch & I would rate them very highly. I didnât like completing the very long document for the insurer but I realise this is to determine the risk for the insurer & ultimately gives me a lower premium. Would certainly recommend Insurance Watch to anyone looking for insurance cover..""",2017-11-14,Geoffrey (VIC),0.209,0.082,0.709,0.7522,Positive
149,149,"""NEVER use them. Shocking company and do not accept answers from females. Sexist.""",2017-10-27,Leanne (SA),0.146,0.141,0.712,0.0191,Neutral
150,150,"""Very easy process and very pleasant to seal with. Time frame was expected due to the nature of insurance requested. Would and have recommended to others..""",2017-05-05,Toni (NSW),0.272,0.0,0.728,0.8218,Positive
151,151,"""Impossible to get in contact with them, wait for over 45 minutes on the phone. Email them and they either take forever to respond or don't respond at all..""",2017-04-26,Adam (VIC),0.0,0.0,1.0,0.0,Neutral
152,152,"""Aia vitality is great for regular gym users and has extras like cheap movie tickets..""",2017-01-06,Catherine (NSW),0.426,0.0,0.574,0.836,Positive
153,153,"""Aia vitality is a good policy with extra benefits if you are a gym user..""",2017-01-06,Stephen (NSW),0.438,0.0,0.562,0.7783,Positive
154,154,"""The application process was easy and the insurer responded quite quickly putting the cover requested in place..""",2016-10-06,Sharon (QLD),0.153,0.0,0.847,0.4404,Positive
155,155,"""Donna's professional handling of the application process was easy and efficient. AIA was very competitive and offered the exact product I was looking for.""",2015-11-20,Grant (QLD),0.278,0.0,0.722,0.7713,Positive
156,156,"""Insurance Watch has been wonderful in a assisting me with the right and affordable policys!!.""",2015-08-24,Karen (QLD),0.248,0.0,0.752,0.6467,Positive
157,157,"""The claim process was hassle free. Donna at insurance watch was very helpful and patient. She also responded to all my emails promptly and professionally. I would recommend insurance watch to others..""",2015-08-05,Brodie (QLD),0.241,0.0,0.759,0.8357,Positive
158,158,"""The customer service was very personalised and is of high quality. We received our 20% cash back cheque without having to follow it up..""",2015-05-20,Luke (NSW),0.0,0.0,1.0,0.0,Neutral
159,159,"""I applied over the phone and the results were mis-understood. I think they need to provide more instruction when talking about your medical history. My experience was that you really need a print out from your doctor for all treatments in the relevant period - it is impossible to remember and this can come back to bite you. It also wasn't clear that you had to pay tax from your monthly benefits - this was not revealed until a claim was made. I wouldn't recommend and I wouldn't advise not to use them either. Everyones circumstances are different so they need to do the research for themselves..""",2015-04-07,Lisa (NSW),0.025,0.055,0.92,-0.2718,Negative
160,160,"""The liked the ease of apply for the insurance through insurance watch..""",2015-03-23,Linda (VIC),0.346,0.0,0.654,0.6486,Positive
161,161,"""Very satisfied with ease of application and timeliness of responses..""",2015-03-07,Geoffrey (NSW),0.423,0.0,0.577,0.7056,Positive
162,162,"""Very good value for money would recommend to others. Also Insurance Watch kept me in touch all the way..""",2015-01-09,Mark (NSW),0.343,0.0,0.657,0.8111,Positive
163,163,"""I liked that I could do the insurance online instead of having to see an advisor personally..""",2015-01-07,Wayne (QLD),0.157,0.0,0.843,0.4215,Positive
164,164,"""Was happy with the application process being online rather than having to waste time making an appointment to see someone in person.""",2015-01-07,Pamela (QLD),0.14,0.106,0.755,0.2263,Positive
165,165,"""Did not like the complexity of arranging the 20% rebate otherwise it was good.""",2015-01-01,Peter (NSW),0.0,0.14,0.86,-0.2755,Negative
166,166,"""Great company to deal with. All problems were addressed and fixed as requested and in a very timely manner..""",2014-12-12,John (NSW),0.18,0.118,0.702,0.34,Positive
167,167,"""Fast process, clear communications, average pricing, I would recommend to others..""",2014-11-13,Mark (WA),0.389,0.0,0.611,0.6249,Positive
168,168,"""Very competitive pricing and good reward for being healthy with good lifestyle choices.""",2014-10-01,Sonia (TAS),0.64,0.0,0.36,0.9216,Positive
169,169,"""Very good value for money that my banker would not believe me it's such a cheap premium for this income protection insurance. This is despite the ceiling benefit is only $5K which is below my monthly salary..""",2014-08-21,Emil (NSW),0.142,0.06,0.798,0.5254,Positive
170,170,"""A sudden hike in fees caused me to start searching elsewhere...before that all was ok..""",2014-07-28,Louise (TAS),0.0,0.0,1.0,0.0,Neutral
171,171,"""I bought a Life Insurance with this insurer via broker who offered a 50% discount to be refunded to me at the end of 12 months. I was quite happy with product and service rendered as they sent a nurse to my place to take blood sample and everything went well in terms of processes. I must admit I haven't read the fine print on exclusions though I was assured by the broker that it is meant to be a full cover insurance. I would like to find out if I would be better off under Insurance watch. Need to look into it further later before next renewal in Dec 2014..""",2014-07-20,Abbie (WA),0.142,0.014,0.844,0.9217,Positive
172,172,"""I like that AIA provides family protection. Application was real easy and what I get is very clear..""",2014-07-17,Shih (VIC),0.265,0.0,0.735,0.6597,Positive
173,173,"""I'm too lazy to change it over but basically I just leave it on as is. One of the main reason I keep it is because it can be invested somewhere and I get bonus once every 3 years..""",2014-06-23,XIAOBO (NSW),0.119,0.077,0.804,0.5719,Positive
174,174,"""The whole process was done online. A little lengthy, less paper work would have been appreciated..""",2014-06-04,Mariela (NSW),0.0,0.0,1.0,0.0,Neutral
175,175,"""I would prefer insurancewatch for all type of insurance. They communicate better than others. Thanks.""",2014-04-29,Vishal (WA),0.172,0.0,0.828,0.4404,Positive
176,176,"""Would definitely recommend to others. Easy to understand terms & conditions. Simple straight forward questions required for activation of the policy. Excellent informative communication. Fast acceptance approval. 20% rebate on first year of policy - (which I received via cheque within 28days) Easy monthly direct debit..""",2014-04-02,Wendy (VIC),0.393,0.0,0.607,0.967,Positive
177,177,"""My overall experience has been a positive one so far. I do like the professional customer service approach and clear processes however I feel the recent premuim increase is unjustified..""",2014-02-24,George (VIC),0.329,0.0,0.671,0.8824,Positive
178,178,"""Comprehesive, did not have a claim yet..""",2014-02-22,Ed (QLD),0.0,0.0,1.0,0.0,Neutral
179,179,"""I purchased the policy from yourselves last year and i am just updating to see who is cheapest now..""",2014-02-14,Linda (VIC),0.0,0.0,1.0,0.0,Neutral
180,180,"""AIA commenced claim in January 2013 and stopped payments in May 2013. AIA contacted specialist without my knowledge and requested a diagnoses report. Report advised I have IBS and can return to work. Have received no Successful treatment and symptoms are still the same. Have obtained seconds opinions from psychiatrist and gastroenterologist, both reports state I do not have IBS and cannot return to work until treatment received. Now being medicated to help with diagnosed depression, and awaiting neurologist appointment to investigate further symptoms. AIA still refuse to reopen claim based on the 2 correct reports. Have received no payments for over 7 months, still haven't been treated and still can't return to work. Financial Ombudsman has been involved, and I will also be pursuing court action with my lawyer if the financial ombudsman cannot assist me with my situation. AIA are portraying as a liar, in particular to my Employer. Employer will most likely be terminating my position due to being ill from work for over 12months. Facing sever financial hardship due to this..""",2013-12-08,Renee (VIC),0.035,0.111,0.854,-0.9022,Negative
181,181,"""I haven't had much to do with them since my initial contact and set up, simply a reminder when the annual renewal came up. I did ask to increase my life insurance, but this turned out to be far too difficult..""",2013-11-22,Roxanne (NSW),0.042,0.0,0.958,0.1655,Positive
182,182,"""Love the value I get for my money, great price.""",2013-11-20,Amanda (QLD),0.641,0.0,0.359,0.8934,Positive
183,183,"""Very happy so far with service and I would recommend them to others..""",2013-11-11,Amanda (QLD),0.394,0.0,0.606,0.7574,Positive
184,184,"""Policy feature and cost are great, but be warned customer service is terrible. If your credit card expires (as they all do), if you havent told them the new number in advance they will start sending you nasty letters saying that your credit card has been dishonored. How a company that manages our life insurance cant work out that your card has expired I fail to understand. To update your credit card expiry date don't expect to do it with a phone call a two page form is requested to be completed and mailed back!.""",2013-10-24,Paul (TAS),0.126,0.148,0.726,-0.6749,Negative
185,185,"""Easy to apply life insurance. Product Disclosure could have been written more in a way that can be understood easily..""",2013-10-23,SURYA (VIC),0.139,0.0,0.861,0.4404,Positive
186,186,"""Very comprehensive features and options at reasonable prices. I rated low for timelyness and communications because I think the industry in Australia is very poor in these areas generally and my insurer is just standard in this regard..""",2013-09-18,Chris (WA),0.056,0.135,0.809,-0.4939,Negative
187,187,"""Every time I would call the customer service number I will always be put on hold for >10 minutes. It would be nice to speak to someone as soon as the person on the other end picks up the phone and not waste my time listening to classical music. I would recommend them to others because they offer value for money, I just hope they would improve their customer service..""",2013-06-20,Leng (NSW),0.225,0.0,0.775,0.9341,Positive
188,188,"""Ease of online application and acceptance was the best feature - didn't involve someone having to phone you, etc..""",2013-06-20,Adam (SA),0.393,0.0,0.607,0.8658,Positive
189,189,"""Had AIA insurance through superfund First State Super, previously with HealthSuper. I am now applies directly as I like the products, and will get better cover and value for money..""",2013-06-19,Nicola (VIC),0.328,0.0,0.672,0.8934,Positive
190,190,"""Average experience, costumer service quite poor.""",2013-06-17,Patrick (QLD),0.0,0.0,1.0,0.0,Neutral
191,191,"""Value for money policy. Easy to read and complete application forms. Payments deducted monthly via Direct Debit automatically. Being able to compare and select options via Insurance Watch website and then apply online made for an easy process..""",2013-06-17,Justin (VIC),0.19,0.0,0.81,0.802,Positive
192,192,"""Havent had any claims so can't really comment on service.""",2013-06-15,Megan (NSW),0.0,0.0,1.0,0.0,Neutral
193,193,"""Good cover for price.""",2013-06-15,Jay (QLD),0.492,0.0,0.508,0.4404,Positive
194,194,"""Took some time to complete all necessary papers and loading was applied to my policy. No follow up as promised on additional medical review to reduce loading..""",2013-06-15,Andrew (QLD),0.084,0.074,0.842,0.0772,Positive
195,195,"""I haven't had the policy for very long, but so far, so good..""",2013-06-14,Mardiros (NSW),0.0,0.0,1.0,0.0,Neutral
196,196,"""I am happy with the premium price.""",2013-06-13,Thao (ACT),0.381,0.0,0.619,0.5719,Positive
197,197,"""After using insurance watch and then using a financial planner for other matters they were very impresses with the rates and levels insurance watch had obtained for me.""",2013-05-25,Tracey (QLD),0.152,0.0,0.848,0.5413,Positive
198,198,"""This is the first time i have ever taken out life insurance and income protection and the process seemed quick and easy and my cover started very soon after the application process. As far as value for money i am not sure if it is good or bad as i did not have much time to shop around..""",2013-05-20,INDIA (NSW),0.129,0.086,0.785,0.4094,Positive
199,199,"""Prices are climbing that's why I'm looking at getting a quote.""",2013-05-20,Nancy (NSW),0.0,0.0,1.0,0.0,Neutral
200,200,"""I have just joined but they have been helpful so far.""",2013-05-18,Michelle (VIC),0.27,0.0,0.73,0.5719,Positive
201,201,"""I will recommend to my friends..""",2013-05-18,Victoria (VIC),0.333,0.0,0.667,0.3612,Positive
202,202,"""Ease of getting in place.""",2013-05-17,Francesco (VIC),0.385,0.0,0.615,0.3612,Positive
203,203,"""Insurance policy was as expected... went through an insurance broker possibly made it more expensive but have recently ended policy to reinsure with another provider - more suitable to my needs and $100 cheaper per month.""",2013-05-17,Fiona (NSW),0.0,0.0,1.0,0.0,Neutral
204,204,"""Efficient processing, accessible and responsive to inquiries..""",2013-05-16,Graeme (ACT),0.515,0.0,0.485,0.6486,Positive
205,205,"""I didnt have any problems with this insurer but I did not make a claim and I find that claiming is when you really get to know if a company is good or not. I would recommend them to others..""",2013-05-16,BRONWYN (VIC),0.136,0.066,0.797,0.4242,Positive
206,206,"""My broker set me up with this insurer and therefore I have no experience re what I like and dislike. I compared a couple of insurers when I was setting up this insurance and there wasn't much difference between them. It came down to cost in the end.""",2013-05-15,Simone (VIC),0.053,0.101,0.846,-0.3182,Negative
207,207,"""Policy seemed good and forms were not too invasive or long. Good value for money. I was with MLC for many years, but cost just kept going up, so I looked around for a better value policy and found one. I have only recently changed to AIA, but would recommend them to others. I would not MLC as they are very expensive..""",2013-05-15,Lindy (VIC),0.237,0.0,0.763,0.93,Positive
208,208,"""Good quick service with no hidden agenda.""",2013-05-14,Kathryn (NSW),0.287,0.218,0.495,0.1779,Positive
209,209,"""Been happy with the current insurer as they provide a cheaper option compare to other insurers..""",2013-05-14,Kenny (VIC),0.209,0.0,0.791,0.5719,Positive
210,210,"""The application process was simple and their policy provides good cover for a competitive price. I would recommend them to others..""",2013-05-13,Andrew (ACT),0.307,0.0,0.693,0.7269,Positive
211,211,"""Extremely happy with my choice of insurer. Service and information provided was superb and I would not hesitate in recommending them to others..""",2013-05-11,Valerie (WA),0.343,0.0,0.657,0.8722,Positive
212,212,"""It was all very organised and processed quickly..""",2013-05-07,Grant (QLD),0.0,0.0,1.0,0.0,Neutral
213,213,"""Very organised and quick service.""",2013-05-07,Sandra (QLD),0.0,0.0,1.0,0.0,Neutral
214,214,"""Very pleasant and stress free.""",2013-05-05,Michael (QLD),0.372,0.317,0.311,0.1354,Positive
215,215,"""The application took some time to get processed. The value of the policy was very competitive. Yes i will recommend them to others.""",2013-05-05,Ming (NSW),0.354,0.0,0.646,0.8347,Positive
216,216,"""They were prepared to be flexible with the paperwork and provided a compromise that worked well for me.""",2013-05-04,Susan (NSW),0.296,0.0,0.704,0.5994,Positive
217,217,"""Our credit card details changed, and we found it hard to change the details with them. The first letter that came out only said we had dishonoured, but had no paperwork to update the details. We emailed insurance watch, but received no response. On the second dishonour letter, AIA included a new direct debit form, which we completed and sent back to them to fix..""",2013-05-03,Jessica (QLD),0.026,0.099,0.875,-0.6124,Negative
218,218,"""I have had no problems, but I have not yet made a claim..""",2013-05-03,Darren (VIC),0.0,0.277,0.723,-0.3506,Negative
219,219,"""They provide a good simple product with a premium better than most other equivelent products..""",2013-05-03,Anne (VIC),0.345,0.0,0.655,0.7003,Positive
